,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
1,WBGene00000715,1773.31003,3.851019665,0.09636586715,39.9624865,0,0,236.8545625,2842.886812,262.343968,3346.84503,224.7750975,3939.356873,198.4909501,3134.926947
2,WBGene00002024,3602.985251,1.515693454,0.04271398977,35.484708,8.46E-276,7.27E-272,1909.63991,5255.09447,1796.988216,5262.709548,1936.251627,5586.61109,1818.220969,5258.366176
3,WBGene00018811,6039.663243,1.641915115,0.0498259269,32.95302701,3.83E-238,2.19E-234,2715.50055,8775.340516,3080.162857,8915.756919,3058.357232,9810.590721,2876.473824,9085.123324
4,WBGene00000608,13146.76509,2.076111954,0.06449077054,32.19238871,2.26E-227,9.69E-224,5022.056895,18727.46633,5526.894164,21425.76425,4992.838977,23760.66369,4625.606783,21092.82967
5,WBGene00009813,918.9669499,2.626635632,0.0872312246,30.11118604,3.46E-199,1.19E-195,263.6857434,1418.410454,259.6253776,1478.323518,265.4823986,1812.691196,234.6799079,1618.837003
6,WBGene00000170,2102.333011,2.418878888,0.08074932553,29.95540671,3.74E-197,1.07E-193,685.5829328,3092.599843,625.2757786,3258.267795,695.5638844,4152.823942,639.3382538,3669.211657
7,WBGene00002052,790.1022802,2.286866017,0.0774620638,29.5223998,1.49E-191,3.64E-188,245.1814807,1316.301077,267.7811486,1234.73612,294.6854625,1420.445456,266.4823253,1275.205171
8,WBGene00003099,4915.72026,1.50806169,0.05121102529,29.44798862,1.34E-190,2.83E-187,2605.400187,6788.757093,2535.085493,6908.260778,2626.505864,7553.176465,2457.559222,7851.016976
9,WBGene00008390,1764.604338,-1.802641746,0.06122188637,-29.44440058,1.48E-190,2.83E-187,2946.803834,789.5784496,2840.926907,839.1929474,2591.108211,789.828156,2599.025148,720.3710502
10,WBGene00008741,9550.597077,1.015737973,0.03502249709,29.00244293,6.13E-185,1.05E-181,6538.481222,12311.7623,6231.009063,12891.04216,6141.492822,13017.93344,6371.449836,12901.60577
11,WBGene00016670,1491.019567,2.233433544,0.08026365611,27.82621242,2.09E-170,3.26E-167,611.565882,2269.658924,485.268376,2414.493266,495.5671441,2797.308052,495.6790578,2358.615831
12,WBGene00012608,7048.531256,1.021931071,0.03796449775,26.91807166,1.35E-159,1.93E-156,4725.063478,9254.546899,4723.550718,9628.956385,4676.914923,9808.811829,4484.140857,9086.264958
13,WBGene00001828,706.4913112,2.960781611,0.1124409201,26.33188709,8.28E-153,1.09E-149,188.7434795,1087.818709,145.4445833,1110.269832,153.9797912,1496.937823,152.4322766,1316.303995
