Ctrl4,Ctrl5,Ctrl6,pyg4,pyg5,pyg6
WBGene00000001,1465,1129,1024,2369,1066,734
WBGene00000002,661,455,617,504,546,238
WBGene00000003,358,285,392,342,341,207
WBGene00000004,704,369,522,713,405,242
WBGene00000005,454,338,474,492,472,242
WBGene00000006,474,207,293,467,262,139
WBGene00000007,380,298,368,346,315,188
WBGene00000008,35,32,44,32,44,16
WBGene00000009,39,25,30,35,32,12
WBGene00000010,762,538,539,1152,539,366
WBGene00000012,33,24,34,13,37,16
WBGene00000013,1021,970,1141,188,827,451
WBGene00000014,5,1,2,5,4,3
WBGene00000015,0,1,2,1,0,1
WBGene00000016,257,171,201,132,195,105
WBGene00000017,307,230,292,234,297,151
WBGene00000018,1131,636,881,1348,736,485
WBGene00000019,58,30,61,51,37,22
WBGene00000020,1884,1136,1708,1782,1310,748
WBGene00000021,7,3,9,2,2,3
WBGene00000022,7299,3823,6538,6490,4213,3065
WBGene00000023,83,48,72,53,76,44
WBGene00000024,8,5,0,10,3,0
WBGene00000025,15,10,27,11,8,5
WBGene00000026,0,0,0,1,3,1
WBGene00000027,4,1,0,1,0,0
WBGene00000028,0,0,0,0,0,0
WBGene00000029,2,1,0,5,1,0
WBGene00000030,6,5,0,12,1,1
WBGene00000031,76,35,5,102,20,35
WBGene00000032,0,0,0,0,0,0
WBGene00000033,59,35,18,63,36,20
WBGene00000034,54,23,10,62,16,12
WBGene00000035,458,273,413,581,290,177
WBGene00000036,620,399,663,445,481,262
WBGene00000037,88,64,75,86,62,32
WBGene00000038,24,18,19,37,18,6
WBGene00000039,403,203,179,459,165,124
WBGene00000040,8869,4899,6910,8308,4860,2575
WBGene00000041,30458,17811,22918,27481,20180,11291
WBGene00000042,20,15,30,14,22,6
WBGene00000043,11,3,13,11,12,4
WBGene00000044,29,25,27,49,24,11
WBGene00000045,6,2,1,9,10,2
WBGene00000046,23,16,15,32,11,11
WBGene00000047,44,47,39,55,39,21
WBGene00000048,17,18,16,37,10,5
WBGene00000049,18,15,15,27,16,6
WBGene00000050,42,38,50,48,43,25
WBGene00000051,103,60,78,113,74,38
WBGene00000053,5,4,2,12,6,2
WBGene00000054,151,121,173,148,160,76
WBGene00000055,188,109,207,140,159,89
WBGene00000056,86,39,57,64,70,25
WBGene00000057,98,78,124,83,81,55
WBGene00000058,40,15,32,48,26,12
WBGene00000059,50,23,28,49,32,20
WBGene00000060,28,12,21,15,20,11
WBGene00000061,8,19,10,5,15,2
WBGene00000062,22,13,16,18,29,16
WBGene00000063,4718,2311,2628,5145,2975,2026
WBGene00000064,16062,9111,8539,17876,10004,6677
WBGene00000065,4788,3087,3705,4942,3885,2851
WBGene00000066,37202,17445,25861,27257,23132,14171
WBGene00000067,15320,8232,13022,10938,10070,6590
WBGene00000068,572,372,652,535,428,280
WBGene00000069,72,55,75,85,64,32
WBGene00000070,947,566,794,1198,578,324
WBGene00000071,665,512,698,787,621,305
WBGene00000072,590,393,569,552,506,245
